rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,632368.4210526316,2.583857638716572e-05,[14 5 13 259.06022053686695]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,790210.5263157894,2677.430835541279,[4 16 5 434.8991397466431]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,790210.5263157894,1480.1771015481665,[4 16 5 687.9626465012086]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,790210.5263157894,310.7004881917759,[25 7 31 229.33154373429326]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,790210.5263157894,9.926657251400995e+23,[9 2 1 1.20208420958117]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,948052.6315789474,1949.1972595299576,[4 17 5 517.2992183618809]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,948052.6315789474,903.0698081851203,[4 16 5 858.8551158277066]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,948052.6315789474,266.630377804004,[25 7 31 283.03967442349756]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,948052.6315789474,1.6447296983584003e-10,[13 5 12 340.3405649200794]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1105894.7368421052,1467.3362890997878,[4 17 5 623.7280202309232]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1105894.7368421052,560.1566506365364,[4 17 5 991.1907218431858]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1105894.7368421052,229.66057214202644,[25 7 32 337.17599410163757]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1105894.7368421052,2.7318453513980225e-15,[15 5 10 314.4815265041249]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1263736.8421052631,1124.5528805871716,[4 16 5 769.4743507528934]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1263736.8421052631,347.09534844888475,[4 17 5 1149.8344834960221]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1263736.8421052631,197.9182247029175,[25 7 32 391.8632269971814]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1263736.8421052631,2.4486131738335135e-21,[18 5 8 265.88978611031666]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1421578.9473684211,886.9455744156037,[4 23 6 789.8809892646215]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1421578.9473684211,209.86771477436287,[4 17 5 1298.6581141618997]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1421578.9473684211,170.2037661012183,[25 7 33 446.30372830597656]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1421578.9473684211,2.5459950848394717e-27,[17 5 8 303.25240191637926]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1579421.0526315789,723.6890265682293,[4 23 6 893.2564607571376]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1579421.0526315789,120.27600751081786,[4 17 5 1431.8194649476247]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1579421.0526315789,145.79418366493067,[25 7 33 500.625426469994]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1579421.0526315789,1.6402977921720492e-33,[23 6 8 382.49262944277893]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1737263.1578947369,596.4634827505473,[4 23 6 997.6788875332942]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1737263.1578947369,63.82032940862688,[4 18 5 1504.216111679289]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1737263.1578947369,124.10923167486432,[26 7 33 540.6667028014136]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1737263.1578947369,1.5077266635045954e-42,[26 6 7 355.97217051639234]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,1895105.2631578948,501.2154954339724,[5 26 6 995.1558364729098]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,1895105.2631578948,28.005584329470192,[4 19 5 1548.9379087231898]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,1895105.2631578948,104.56920591428474,[26 7 33 592.3565144979519]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,1895105.2631578948,2.25095335773243e-51,[20 5 6 300.17746713376846]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2052947.3684210526,427.908569741671,[5 26 6 1089.6045828693493]
