,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
74,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1.0,3000000.0,7.233094772543197,[29 8 34 1031.116484556033]
118,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1.0,3000000.0,22.66685639337947,[29 8 36 988.3705644773164]
162,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1.0,3000000.0,24.928424126966465,[29 8 36 983.1716847515092]
206,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1.0,3000000.0,25.163495558508675,[29 8 36 982.6444436538019]
250,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1.0,3000000.0,25.18709415301515,[29 8 36 982.5886881615525]
294,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1.0,3000000.0,25.18945493011833,[29 8 36 982.5841483337282]
338,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1.0,3000000.0,16.672818935144136,[26 7 32 892.4930865643918]
382,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,1.0,3000000.0,25.18971461332053,[29 8 36 982.587341061782]
34,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,10.0,3000000.0,1.1580069536172136e-89,[29 1 2 67.46405668913341]
78,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,10.0,3000000.0,7.2465562549404465,[29 8 34 1031.2544725702094]
122,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,10.0,3000000.0,22.686408675251293,[29 8 36 988.4434675246152]
166,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,10.0,3000000.0,24.9484621521962,[29 8 36 983.2310300855747]
210,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,10.0,3000000.0,25.183581369919217,[29 8 36 982.7023691734846]
254,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,10.0,3000000.0,25.20718473011916,[29 8 36 982.6531090618697]
298,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,10.0,3000000.0,16.698056499289912,[26 7 32 892.5755270291837]
342,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,10.0,3000000.0,25.209782122256325,[29 8 36 982.6434683025419]
386,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,10.0,3000000.0,25.20980573424386,[29 8 36 982.6428789590168]
38,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,100.0,3000000.0,1.1580424296666153e-89,[29 1 2 67.46405627966392]
82,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,100.0,3000000.0,7.247902870655541,[29 8 34 1031.2687539507651]
126,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,100.0,3000000.0,22.688364189123217,[29 8 36 988.4461006693145]
170,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,100.0,3000000.0,24.950466221185312,[29 8 36 983.2345537113573]
214,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,100.0,3000000.0,25.18559021838176,[29 8 36 982.7104466115107]
258,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,100.0,3000000.0,16.69888234874361,[26 7 32 892.583779337414]
302,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,100.0,3000000.0,16.7005978238358,[26 7 32 892.5805977513613]
346,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,100.0,3000000.0,25.211791467865527,[29 8 36 982.6427123523946]
390,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,100.0,3000000.0,25.21181511296558,[29 8 36 982.6469930196259]
42,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1000.0,3000000.0,1.1580459773568416e-89,[29 1 2 67.46405625046921]
86,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1000.0,3000000.0,7.248037534668796,[29 8 34 1031.2633336431352]
130,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1000.0,3000000.0,14.864399316978568,[26 7 32 894.8129640400015]
174,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1000.0,3000000.0,24.950666607961644,[29 8 36 983.2407337181852]
218,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1000.0,3000000.0,16.681987967131786,[26 7 32 892.6098897741816]
262,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1000.0,3000000.0,25.209394980798816,[29 8 36 982.6566233241103]
306,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1000.0,3000000.0,16.70085196428804,[26 7 32 892.5828182413694]
350,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1000.0,3000000.0,25.211992438689336,[29 8 36 982.6511039751744]
394,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179586.0,1000.0,3000000.0,25.212016049452565,[29 8 36 982.6538529210326]
3,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-07,3000000.0,0.0,
47,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-07,3000000.0,0.0,
91,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
135,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
179,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
223,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-07,3000000.0,0.0,
267,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-07,3000000.0,0.0,
311,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-07,3000000.0,0.0,
355,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,1e-07,3000000.0,0.0,
7,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-06,3000000.0,0.0,
51,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
95,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
139,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
183,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
227,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-06,3000000.0,3.509169973890481e-85,[26 1 2 67.74117171580832]
271,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-06,3000000.0,13635.362864043367,[29 8 36 709.0661783487694]
315,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-06,3000000.0,3.917721550397379e-67,[29 6 6 415.73164414765785]
359,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,1e-06,3000000.0,20381.705031037825,[29 8 36 717.4492275169972]
11,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-05,3000000.0,0.0,
55,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-05,3000000.0,0.0,
99,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-05,3000000.0,0.0,
143,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-05,3000000.0,0.0,
187,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-05,3000000.0,857.6642844467743,[29 8 32 755.3029365199588]
231,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-05,3000000.0,47812.724809924,[29 8 38 780.7060969175966]
275,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-05,3000000.0,89617.07565148777,[29 8 38 777.9460184869135]
319,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-05,3000000.0,97128.01666390162,[29 8 38 777.6481293100261]
363,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,1e-05,3000000.0,97939.23804881984,[29 8 38 777.6184324867718]
15,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.0001,3000000.0,0.0,
59,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.0001,3000000.0,0.0,
103,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.0001,3000000.0,0.0,
147,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.0001,3000000.0,3.3157728949517216e-74,[29 6 6 486.660987287604]
191,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.0001,3000000.0,7231.207857651751,[29 8 36 851.1652845783748]
235,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.0001,3000000.0,56811.6891866914,[29 8 38 788.9874785379288]
279,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.0001,3000000.0,98815.75467153091,[29 8 38 782.594962816463]
323,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.0001,3000000.0,106346.48400460876,[29 8 38 781.9586467089824]
367,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179586.0,0.0001,3000000.0,107159.6825610419,[29 8 38 781.8917631061346]
19,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.001,3000000.0,0.0,
63,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.001,3000000.0,0.0,
