rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2842157.8947368423,205.37558535464842,[5 28 6 1489.0892906075005]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,3000000.0,178.08668141910368,[5 28 6 1579.7849793723346]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000.0,6423199.254078895,[1 1 28 7.978781782057894]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,158842.1052631579,7575.780765287302,[1 1 28 1.9042636635408716]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,316684.2105263158,0.8195434608669865,[1 1 25 6.956987056608767]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,474526.3157894737,0.00012974114229151196,[2 1 27 10.564179913455149]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,632368.4210526316,2.765967889254065e-08,[1 1 27 15.833092522345712]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,790210.5263157894,4.657330065583024e-13,[1 2 27 46.727889145699436]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,948052.6315789474,2.483910979022163e-16,[1 1 29 46.11691788594178]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1105894.7368421052,1.5166528576238222e-19,[1 1 27 40.082986214038684]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1263736.8421052631,5.908852449982103e-24,[1 2 29 65.43070777402488]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1421578.9473684211,1.628813709360035e-26,[1 1 26 38.78373700221744]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1579421.0526315789,5.421220662630242e-32,[1 2 27 101.09867281735461]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1737263.1578947369,1.746101849733078e-35,[1 2 29 104.28454429258076]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1895105.2631578948,4.675060010744517e-39,[1 2 29 109.01745852353292]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2052947.3684210526,1.019395685984724e-41,[1 1 27 84.94889930970345]
