rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.01,3000000.0,1.619201404441701e-29,[28 6 10 541.9932086325247]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.1,3000000.0,190.2926686062028,[5 28 6 1567.894330618604]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.1,3000000.0,1796.6083927205832,[5 27 6 1574.9188257104713]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.1,3000000.0,24.72831398441456,[29 8 36 982.5708070902267]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.1,3000000.0,0.000363723092091738,[29 7 18 915.3417017775644]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1.0,3000000.0,190.80714000330988,[5 28 6 1567.9301438854945]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1.0,3000000.0,1797.3879944080104,[5 27 6 1574.9274406613265]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1.0,3000000.0,24.928424126966462,[29 8 36 983.1716847515092]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1.0,3000000.0,0.00036774932995793267,[29 7 18 915.7836049574731]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,10.0,3000000.0,190.85860994751653,[5 28 6 1567.9360296322163]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,10.0,3000000.0,1797.4659602937359,[5 27 6 1574.9277362689545]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,10.0,3000000.0,24.9484621521962,[29 8 36 983.2310300855747]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,10.0,3000000.0,0.00036815252569293304,[29 7 18 915.8278436908104]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,100.0,3000000.0,190.65827410501603,[5 27 6 1605.5535050028222]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,100.0,3000000.0,1797.4737569271424,[5 27 6 1574.9269584431834]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,100.0,3000000.0,24.950466221185312,[29 8 36 983.2345537113573]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,100.0,3000000.0,0.000368192851095703,[29 7 18 915.8300767785587]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1000.0,3000000.0,190.864271895266,[5 28 6 1567.933507236312]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1000.0,3000000.0,1797.4745366149584,[5 27 6 1574.9273210861527]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1000.0,3000000.0,24.950666607961644,[29 8 36 983.2407337181852]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1000.0,3000000.0,0.000368196883639394,[29 7 18 915.8291790918832]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-07,3000000.0,2.3497229969126532e-64,[1 4 29 215.7343198872477]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-06,3000000.0,3.4773783997958357e-60,[1 1 29 80.76615112590156]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-05,3000000.0,3.859143748313203e-62,[1 1 29 80.80871687981697]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1e-05,3000000.0,17605.30525946725,[5 29 6 1241.9940376068673]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-05,3000000.0,857.6642844467743,[29 8 32 755.3029365199588]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.0001,3000000.0,5.528988463213956e-62,[1 1 29 80.94445486962363]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,0.0001,3000000.0,25380.936238452774,[5 27 6 1302.9687662586743]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.0001,3000000.0,7231.2078576517515,[29 8 36 851.1652845783748]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.001,3000000.0,138.51888715775323,[5 29 6 1527.5213912159677]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,0.001,3000000.0,26189.242886172506,[5 26 6 1338.8634181994103]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.001,3000000.0,6.409385822780621,[29 8 34 901.7141445302276]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.001,3000000.0,8048.9994502878435,[29 8 36 857.5018537586178]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.01,3000000.0,187.10953546258878,[5 28 6 1564.816237083083]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,0.01,3000000.0,26327.311385673933,[5 27 6 1302.928785361936]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.01,3000000.0,22.98410147026416,[29 8 36 975.9783317426802]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.01,3000000.0,8132.220972453718,[29 8 36 858.1197759772963]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.1,3000000.0,192.23679686059023,[5 28 6 1565.1723455770943]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,0.1,3000000.0,26335.97769467168,[5 27 6 1302.9272288282073]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.1,3000000.0,24.9629061162757,[29 8 36 982.0499731517817]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.1,3000000.0,8140.557556777689,[29 8 36 858.1801970139464]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,3000000.0,192.7517774750407,[5 28 6 1565.2089774597812]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,1.0,3000000.0,26288.761569613504,[5 26 6 1338.8504659153512]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1.0,3000000.0,25.163495558508675,[29 8 36 982.6444436538019]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1.0,3000000.0,8141.391360270655,[29 8 36 858.1842129478063]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,10.0,3000000.0,192.80329822844405,[5 28 6 1565.2125329449045]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,10.0,3000000.0,26336.931058619946,[5 27 6 1302.9284571323815]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,10.0,3000000.0,25.183581369919217,[29 8 36 982.7023691734846]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,10.0,3000000.0,8141.474741544903,[29 8 36 858.18714463621]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,100.0,3000000.0,192.80845053069226,[5 28 6 1565.2127522342462]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,100.0,3000000.0,26336.939725524604,[5 27 6 1302.9280999818332]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,100.0,3000000.0,25.185590218381762,[29 8 36 982.7104466115107]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,100.0,3000000.0,8141.483080172744,[29 8 36 858.188701153945]
