rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.95,3.162277660168379e-06,5e-05,521.8787508525796,[5 29 6 728.7307818324165]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.95,1e-05,5e-05,460.07645977108075,[5 29 6 731.2399513118212]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.95,3.1622776601683795e-05,5e-05,283.8955804263833,[5 29 6 739.9619023594835]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.95,0.0001,5e-05,2.9188279660238386e-17,[1 1 29 24.144816264183838]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.96,1e-06,5e-05,720.2674253926982,[5 29 6 647.2070274840462]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.96,3.162277660168379e-06,5e-05,698.1298262875664,[5 29 6 648.2194056863846]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.96,1e-05,5e-05,630.5268694933199,[5 29 6 651.4564575212368]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.96,3.1622776601683795e-05,5e-05,440.3482109456499,[4 29 6 646.6793848603922]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.96,0.0001,5e-05,3.882587256789265e-17,[1 1 29 24.30220397951342]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.97,1e-06,5e-05,913.836392158931,[4 27 6 612.5235685396095]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.97,3.162277660168379e-06,5e-05,890.5448797725363,[4 27 6 613.051878354455]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.97,1e-05,5e-05,819.2142537966538,[4 27 6 614.7193480238267]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.97,3.1622776601683795e-05,5e-05,618.4707221087945,[4 29 6 587.9729496499383]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.97,0.0001,5e-05,5.1509098478989036e-17,[1 1 29 24.473724316925082]
