rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000185,284.88320084442586,[4 29 6 517.5375991048472]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00019,3.2450562731416555e-17,[1 1 29 25.294403076463915]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000195,240.0003940824261,[4 29 6 519.4604230244731]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,5e-05,1876.9158299737096,[4 16 5 574.8895079483717]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,6e-05,1714.887669125793,[4 17 5 549.0464653665065]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,7e-05,1555.7427584337324,[4 18 5 527.9786654705663]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,7.999999999999999e-05,1418.5174340479196,[4 17 5 552.3205279561059]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,8.999999999999999e-05,1304.5324951011985,[4 24 6 509.555826049857]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.0001,1212.7200251261527,[4 25 6 497.0702971665082]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000105,1168.632738918555,[4 25 6 498.0310309340038]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00011,1123.8450389850052,[4 26 6 485.9635826099217]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000115,1082.6428013434029,[4 25 6 499.95654646369087]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00012,1042.1082524867375,[4 26 6 487.7279000428337]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000125,1002.1885236173728,[4 26 6 488.6119061457456]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00013000000000000002,962.8709087726713,[4 26 6 489.49753314672245]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000135,924.1347933169292,[4 26 6 490.3854212143697]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00014,1.1884855418568153e-16,[1 1 29 25.17242871771545]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000145,850.2629365081422,[4 27 6 480.1169662168294]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00015000000000000001,814.3474366381491,[4 27 6 480.9348702530611]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000155,778.9211622353997,[4 27 6 481.75529932174015]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00015999999999999999,744.0040219299576,[4 28 6 471.68069264755235]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000165,709.4813567954476,[4 27 6 483.40498735417947]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00017,677.5925938307289,[4 28 6 473.19248536780134]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000175,1.1758558617564462e-16,[1 1 29 25.170956599272582]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.00017999999999999998,612.8590809172199,[4 28 6 474.7160915450302]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,0.000185,581.4718206234112,[4 29 6 465.47128071537014]
