rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,0.01,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,0.1,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,1.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,10.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,100.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,1000.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,0.0001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,0.01,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,0.1,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,1.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,10.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,100.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318.5307179586,1000.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,0.0001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,0.01,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,0.1,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,1.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,10.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,100.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185.307179586,1000.0,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.0001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.001,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.01,1000000.0,1,0,5e-05,1.6685567715732518e-20,[1 1 19 31.099068253725434]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.1,1000000.0,1,0,5e-05,1.9183612219920952e-20,[1 1 21 34.64126667392574]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1.0,1000000.0,1,0,5e-05,1.988672303239707e-20,[1 1 20 32.69931162811605]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,10.0,1000000.0,1,0,5e-05,1.9897594880955584e-20,[1 1 20 32.699314159776286]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,100.0,1000000.0,1,0,5e-05,1.9898686773149352e-20,[1 1 20 32.69931177566556]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1000.0,1000000.0,1,0,5e-05,1.9898795601627632e-20,[1 1 20 32.69931192072534]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.0001,1000000.0,1,0,5e-05,1.4692080731878198e-18,[1 1 28 42.049782764366]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.001,1000000.0,1,0,5e-05,4.2057010377884536e-18,[1 1 22 31.229183429957107]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.01,1000000.0,1,0,5e-05,4.380233472359437e-18,[1 1 22 31.229183425625525]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.1,1000000.0,1,0,5e-05,4.3996183566893475e-18,[1 1 22 31.229184653855327]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1.0,1000000.0,1,0,5e-05,4.401588497840072e-18,[1 1 22 31.229183465739425]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,10.0,1000000.0,1,0,5e-05,4.401785422927522e-18,[1 1 22 31.229185726769643]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,100.0,1000000.0,1,0,5e-05,4.401805565195971e-18,[1 1 22 31.229183473753416]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1000.0,1000000.0,1,0,5e-05,4.40180735902862e-18,[1 1 22 31.229184472789896]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-05,1000000.0,1,0,5e-05,3.0029403677913035e-17,[1 1 26 37.08093715542946]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.0001,1000000.0,1,0,5e-05,5.4011056415990635e-17,[1 1 23 32.20459073633]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.001,1000000.0,1,0,5e-05,6.369510148156672,[3 14 5 1001.733150680059]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.01,1000000.0,1,0,5e-05,27.14594085529196,[3 10 4 1020.5348569724732]
